Zone,License,District,District
5.51,284000268,5,Chicago-Naperville-Elgin
5.51,284000358,5,Chicago-Naperville-Elgin
5.51,284000164,5,Chicago-Naperville-Elgin
5.51,284000207,5,Chicago-Naperville-Elgin
5.51,284000101,5,Chicago-Naperville-Elgin
5.52,284000274,5,Chicago-Naperville-Elgin
5.52,284000197,5,Chicago-Naperville-Elgin
5.52,284000318,5,Chicago-Naperville-Elgin
5.52,284000091,5,Chicago-Naperville-Elgin
5.52,280000005,5,Chicago-Naperville-Elgin
5.52,284000148,5,Chicago-Naperville-Elgin
5.52,280000038,5,Chicago-Naperville-Elgin
5.52,284000182,5,Chicago-Naperville-Elgin
5.52,284000205,5,Chicago-Naperville-Elgin
5.52,280000034,5,Chicago-Naperville-Elgin
5.61,284000190,5,Chicago-Naperville-Elgin
5.61,284000292,5,Chicago-Naperville-Elgin
5.61,284000295,5,Chicago-Naperville-Elgin
5.61,284000231,5,Chicago-Naperville-Elgin
5.61,284000181,5,Chicago-Naperville-Elgin
5.61,284000238,5,Chicago-Naperville-Elgin
5.61,284000072,5,Chicago-Naperville-Elgin
5.61,284000201,5,Chicago-Naperville-Elgin
5.61,284000350,5,Chicago-Naperville-Elgin
5.61,280000027,5,Chicago-Naperville-Elgin
5.61,284000080,5,Chicago-Naperville-Elgin
5.61,280000006,5,Chicago-Naperville-Elgin
5.61,284000068,5,Chicago-Naperville-Elgin
5.61,284000078,5,Chicago-Naperville-Elgin
5.61,280000020,5,Chicago-Naperville-Elgin
5.71,284000125,5,Chicago-Naperville-Elgin
5.71,284000335,5,Chicago-Naperville-Elgin
5.71,280000021,5,Chicago-Naperville-Elgin
5.71,280000023,5,Chicago-Naperville-Elgin
5.71,284000288,5,Chicago-Naperville-Elgin
5.71,284000180,5,Chicago-Naperville-Elgin
5.71,280000040,5,Chicago-Naperville-Elgin
5.71,280000033,5,Chicago-Naperville-Elgin
5.71,280000053,5,Chicago-Naperville-Elgin
5.71,284000162,5,Chicago-Naperville-Elgin
5.71,280000002,5,Chicago-Naperville-Elgin
5.71,284000285,5,Chicago-Naperville-Elgin
5.71,284000153,5,Chicago-Naperville-Elgin
5.72,284000198,5,Chicago-Naperville-Elgin
5.72,284000284,5,Chicago-Naperville-Elgin
5.72,284000144,5,Chicago-Naperville-Elgin
5.72,284000256,5,Chicago-Naperville-Elgin
5.72,284000328,5,Chicago-Naperville-Elgin
5.72,284000183,5,Chicago-Naperville-Elgin
5.72,284000313,5,Chicago-Naperville-Elgin
5.72,284000282,5,Chicago-Naperville-Elgin
5.72,284000367,5,Chicago-Naperville-Elgin
5.72,284000156,5,Chicago-Naperville-Elgin
5.72,284000044,5,Chicago-Naperville-Elgin
5.72,280000011,5,Chicago-Naperville-Elgin
5.72,284000110,5,Chicago-Naperville-Elgin
5.72,284000149,5,Chicago-Naperville-Elgin
5.72,284000286,5,Chicago-Naperville-Elgin
5.72,284000315,5,Chicago-Naperville-Elgin
5.72,280000030,5,Chicago-Naperville-Elgin
5.72,284000300,5,Chicago-Naperville-Elgin
5.72,284000111,5,Chicago-Naperville-Elgin
5.73,284000163,5,Chicago-Naperville-Elgin
5.73,284000154,5,Chicago-Naperville-Elgin
5.73,284000338,5,Chicago-Naperville-Elgin
5.73,284000277,5,Chicago-Naperville-Elgin
5.73,284000294,5,Chicago-Naperville-Elgin
5.73,284000269,5,Chicago-Naperville-Elgin
5.73,284000347,5,Chicago-Naperville-Elgin
5.73,284000273,5,Chicago-Naperville-Elgin
5.73,284000272,5,Chicago-Naperville-Elgin
5.8,284000275,5,Chicago-Naperville-Elgin
5.8,284000235,5,Chicago-Naperville-Elgin
5.8,284000245,5,Chicago-Naperville-Elgin
5.8,284000246,5,Chicago-Naperville-Elgin
